,0
1590,CALM1
1591,RBCK1
1592,PDLIM7
1593,TAB2
1594,CHEK2
1595,PELI1
1596,PELI2
1597,SHC1
1598,NCSTN
1599,RBM14
1600,PSRC1
1601,CPLX1
1602,DEK
1603,UBE2D1
1604,LUC7L3
1605,MRPS18B
1606,NUBP2
1607,ZNF212
1608,PPP5C
1609,RNF168
1610,METTL23
1611,MYOCD
1612,MMS19
1613,BIRC2
1614,ANKRD28
1615,NR1I2
1616,CDKN1A
1617,TUBG1
1618,ATMIN
1619,MRPL4
1620,CALR3
1621,RMND5A
1622,OTUD5
1623,MLLT4
1624,CAD
1625,EEF1A1
1626,TCF7L2
1627,CASP8
1628,PRKAR2B
1629,KIF2A
1630,XRCC3
1631,NES
1632,GEMIN5
1633,DSN1
1634,MCM3
1635,MGP
1636,CENPE
1637,FOXB1
1638,FOXG1
1639,FOXJ2
1640,NLRP3
1641,FOXL1
1642,ZNF207
1643,MCM5
1644,DNMT3L
1645,DPPA4
1646,SYNGAP1
1647,GKN1
1648,MOAP1
1649,OSTM1
1650,DPF3
1651,ZNF746
1652,TUBA1A
1653,DUSP26
1654,CD70
1655,TBC1D22B
1656,PDGFD
1657,P4HA3
1658,F9
1659,PDE4DIP
1660,PI4KA
1661,SUSD3
1662,DDX19B
1663,LYZL1
1664,NPPA
1665,PRMT2
1666,PRSS37
1667,STX11
1668,ZIC1
1669,HNRNPLL
1670,FAM60A
1671,POGLUT1
1672,MTNR1B
1673,ERG
1674,U14
1675,CCP110
1676,ZUFSP
1677,APP
1678,PYGO1
1679,FBXO7
1680,ARMC8
1681,UBE2H
1682,MAPK6
1683,PPEF1
1684,PPP2R2A
1685,HIRA
1686,UBN1
1687,TXNRD1
1688,SMU1
1689,SPDL1
1690,TXNIP
1691,S100A12
1692,WTAP
1693,AMBRA1
1694,ZBTB7A
1695,PRKD2
1696,DISC1
1697,DCAF15
1698,BICD1
1699,HOOK1
1700,FBXO38
1701,LUCAT1
1702,RNF38
1703,CD74
1704,DDX60
1705,TNFRSF10A
1706,DUSP2
1707,PTP4A3
1708,PLK1
1709,ATP1B1
1710,LTF
